Gene	ENC
KAF1768748.1	54.3954603700818
KAF1768749.1	44.312434299008
KAF1768750.1	52.338684885188
KAF1768751.1	52.7576258861042
KAF1768752.1	44.8851674707635
KAF1768753.1	45.7859429308843
KAF1768754.1	46.2088521294966
KAF1768755.1	47.6361529518419
KAF1768756.1	47.6840470576027
KAF1768757.1	48.9602304832979
KAF1768758.1	51.0159541581546
KAF1768759.1	43.5105599820333
KAF1768760.1	49.3732457951652
KAF1768761.1	53.0839360173097
KAF1768762.1	54.8164842049536
KAF1768763.1	29.9587989871201
KAF1768764.1	51.7608582127874
KAF1768765.1	61
KAF1768766.1	50.420813225059
KAF1768767.1	48.2268019865411
KAF1768768.1	48.9249242419148
KAF1768769.1	52.5516095594891
KAF1768770.1	43.5797812708489
KAF1768771.1	54.2409521375709
KAF1768772.1	52.964228307862
KAF1768773.1	32.2247108236822
KAF1768774.1	33.7030443073001
KAF1768775.1	53.2116808061598
KAF1768776.1	45.6106749291219
KAF1768777.1	41.9657169535722
KAF1768778.1	35.7249420255306
KAF1768779.1	30.4337313643305
KAF1768780.1	54.0419569655499
KAF1768781.1	44.5827273851166
KAF1768782.1	53.4458036993442
KAF1768783.1	49.8760187715816
KAF1768784.1	53.7918124124771
KAF1768785.1	49.8283107410427
KAF1768786.1	50.088510724059
KAF1768787.1	51.4441599501405
KAF1768788.1	48.3842243006212
KAF1768789.1	42.9016741625409
KAF1768790.1	46.6826293844372
KAF1768791.1	47.9571078493347
KAF1768792.1	54.782735059092
KAF1768793.1	50.4117800954774
KAF1768794.1	52.7853589644078
KAF1768795.1	55.4197614253734
KAF1768796.1	55.7214588024341
KAF1768797.1	51.3249960280615
KAF1768798.1	44.0823984430698
KAF1768799.1	53.7389744199552
KAF1768800.1	49.4417067899171
KAF1768801.1	54.6967809933492
KAF1768802.1	53.6989196489203
KAF1768803.1	49.7432588687326
KAF1768804.1	48.7903367646687
KAF1768805.1	48.6230258682631
KAF1768806.1	53.520442311879
KAF1768807.1	47.2092695697099
KAF1768808.1	48.8280194971697
KAF1768809.1	53.9323056330988
KAF1768810.1	53.4566845129532
KAF1768811.1	34.2137936041821
KAF1768812.1	47.0665786708084
KAF1768813.1	46.9224387435158
KAF1768814.1	49.2893079111901
KAF1768815.1	41.4698396036722
KAF1768816.1	33.4858979546696
KAF1768817.1	38.9503489551364
KAF1768818.1	52.8016260049242
KAF1768819.1	48.4428556540209
KAF1768820.1	48.7410873811712
KAF1768821.1	47.7063603093162
KAF1768822.1	34.3815228844387
KAF1768823.1	46.8636463031787
KAF1768824.1	50.0594322987285
KAF1768825.1	47.9568978579693
KAF1768826.1	36.7958224937781
KAF1768827.1	50.3740556774537
KAF1768828.1	50.4449459399626
KAF1768829.1	43.7723036834274
KAF1768830.1	48.4464146041343
KAF1768831.1	46.8976423867439
KAF1768832.1	50.7209723852518
KAF1768833.1	50.3194501627435
KAF1768834.1	50.8052742176995
KAF1768835.1	54.2951523059189
KAF1768836.1	53.2444648259422
KAF1768837.1	50.5087135898562
KAF1768838.1	52.1923953404517
KAF1768839.1	58.7077335754217
KAF1768840.1	46.8694628492007
KAF1768841.1	49.0702874111518
KAF1768842.1	48.492564976099
KAF1768843.1	49.8899785781229
KAF1768844.1	61
KAF1768845.1	47.781224986679
KAF1768846.1	47.9152270172159
KAF1768847.1	50.1268208227675
KAF1768848.1	55.3278095998253
KAF1768849.1	35.8519280686575
KAF1768850.1	49.5559653753232
KAF1768851.1	31.1384597363763
KAF1768852.1	36.0970388833127
KAF1768853.1	54.0775897808591
KAF1768854.1	33.8133249080153
KAF1768855.1	31.2458790552876
KAF1768856.1	49.4776636372205
KAF1768857.1	51.9753089054529
KAF1768858.1	44.8648088915489
KAF1768859.1	50.4655556808017
KAF1768860.1	48.9495943709707
KAF1768861.1	48.2186141920494
KAF1768862.1	50.1643218141436
KAF1768863.1	49.3413966361625
KAF1768864.1	47.818956622631
KAF1768865.1	49.7599251649502
KAF1768866.1	50.4454254756774
KAF1768867.1	48.7517622520079
KAF1768868.1	49.9329124388831
KAF1768869.1	51.5362088095017
KAF1768870.1	50.0436757060914
KAF1768871.1	49.0609756105625
KAF1768872.1	48.8738020878535
KAF1768873.1	50.5872662512077
KAF1768874.1	50.4603608444138
KAF1768875.1	48.9655869330226
KAF1768876.1	54.8261673847828
KAF1768877.1	56.5564213068819
KAF1768878.1	48.4766474549083
KAF1768879.1	50.7071674003464
KAF1768880.1	45.9975419551339
KAF1768881.1	47.6958846286707
KAF1768882.1	51.5432020365435
KAF1768883.1	57.0877628923423
KAF1768884.1	41.0297831191507
KAF1768885.1	53.0206213454471
KAF1768886.1	43.6516350657224
KAF1768887.1	55.6735584722157
KAF1768888.1	48.9251350712501
KAF1768889.1	48.8453007071291
KAF1768890.1	36.711110763414
KAF1768891.1	46.8986102053863
KAF1768892.1	49.0631876042426
KAF1768893.1	52.9947305393757
KAF1768894.1	41.9810366058339
KAF1768895.1	50.9822152144277
KAF1768896.1	52.0353808143637
KAF1768897.1	51.9808882579797
KAF1768898.1	52.904412297423
KAF1768899.1	56.2577871932691
KAF1768900.1	45.8423327399222
KAF1768901.1	49.6446380056822
KAF1768902.1	50.2344343318151
KAF1768903.1	46.7188767801196
KAF1768904.1	53.8749807144219
KAF1768905.1	61
KAF1768906.1	49.9769765951952
KAF1768907.1	52.9212755740163
KAF1768908.1	45.5941865903088
KAF1768909.1	47.7805441952421
KAF1768910.1	45.4777145619964
KAF1768911.1	51.9518816932414
KAF1768912.1	52.7745933793351
KAF1768913.1	49.1008657249422
KAF1768914.1	54.1120345299152
KAF1768915.1	51.1186036269375
KAF1768916.1	53.8953544903093
KAF1768917.1	61
KAF1768918.1	54.0069697276276
KAF1768919.1	59.9671575842493
KAF1768920.1	45.7006969699834
KAF1768921.1	52.4757692517451
KAF1768922.1	43.1508431520908
KAF1768923.1	46.6109396360599
KAF1768924.1	46.459129778974
KAF1768925.1	51.4489954301774
KAF1768926.1	48.4569687096832
KAF1768927.1	45.6579610355614
KAF1768928.1	52.9940375612662
KAF1768929.1	53.8953544903093
KAF1768930.1	61
KAF1768931.1	51.5327211865723
KAF1768932.1	54.6631635504309
KAF1768933.1	45.8191267382013
KAF1768934.1	47.7466240734496
KAF1768935.1	47.0372913350294
KAF1768936.1	51.0399683108872
KAF1768937.1	53.8240995402191
KAF1768938.1	49.7563686410406
KAF1768939.1	52.2037814097275
KAF1768940.1	52.6120767231804
KAF1768941.1	48.0541382835272
KAF1768942.1	45.9132833304291
KAF1768943.1	51.8893170747146
KAF1768944.1	52.1040378601908
KAF1768945.1	54.7246159657513
KAF1768946.1	52.9126676268593
KAF1768947.1	55.1132373302403
KAF1768948.1	55.1089386350861
KAF1768949.1	48.5897841189938
KAF1768950.1	52.8108542981995
KAF1768951.1	61
KAF1768952.1	52.365912989426
KAF1768953.1	56.4319188716403
KAF1768954.1	52.5731282909467
KAF1768955.1	57.837530560723
KAF1768956.1	53.4359219697821
KAF1768957.1	50.1376490376256
KAF1768958.1	48.6511696877811
KAF1768959.1	52.748980021021
KAF1768960.1	48.0514328866793
KAF1768961.1	53.1976549397927
KAF1768962.1	56.1457468603634
KAF1768963.1	48.5661644884096
KAF1768964.1	47.9889310079685
KAF1768965.1	49.3600386100386
KAF1768966.1	52.6318391529467
KAF1768967.1	51.0407454968952
KAF1768968.1	51.4010304404785
KAF1768969.1	49.4265492434437
KAF1768970.1	54.3995754835727
KAF1768971.1	45.8745909268305
KAF1768972.1	54.6421929768654
KAF1768973.1	43.886256250518
KAF1768974.1	44.677590795137
KAF1768975.1	56.3276687454319
KAF1768976.1	56.6897590691166
KAF1768977.1	47.2919911334499
KAF1768978.1	52.5736837074108
KAF1768979.1	55.4114932751667
KAF1768980.1	54.4206415344247
KAF1768981.1	60.8189417234508
KAF1768982.1	53.7095429764281
KAF1768983.1	51.7774481976821
KAF1768984.1	49.7976277041199
KAF1768985.1	50.3852832881361
KAF1768986.1	52.8512899140721
KAF1768987.1	50.3159353463365
KAF1768988.1	49.8740873303951
KAF1768989.1	56.2365601948688
KAF1768990.1	50.9662652124014
KAF1768991.1	51.9055318953416
KAF1768992.1	47.8656508915745
KAF1768993.1	54.1392220397395
KAF1768994.1	50.6149617543822
KAF1768995.1	51.1272779829073
KAF1768996.1	53.574530554728
KAF1768997.1	48.6350413799113
KAF1768998.1	55.9332700562254
KAF1768999.1	61
KAF1769000.1	50.8984777045872
KAF1769001.1	50.7842968420094
KAF1769002.1	46.2380123156694
KAF1769003.1	40.931013357932
KAF1769004.1	51.0943084332098
KAF1769005.1	47.5373162339294
KAF1769006.1	46.2520277363978
KAF1769007.1	47.8333499285872
KAF1769008.1	53.3756585673427
KAF1769009.1	33.1869105299707
KAF1769010.1	51.5850163116886
KAF1769011.1	50.1691799808636
KAF1769012.1	51.1357508101493
KAF1769013.1	49.386563430001
KAF1769014.1	50.8680158313959
KAF1769015.1	50.7433765581031
KAF1769016.1	61
KAF1769017.1	61
KAF1769018.1	53.1747057516468
KAF1769019.1	53.9325775612805
KAF1769020.1	53.1244601274738
KAF1769021.1	52.9575808908532
KAF1769022.1	55.331895058961
KAF1769023.1	55.5223807065629
