Gene	ENC
OZG24428.1	52.2911612813117
OZG24429.1	48.4659340659341
OZG24430.1	54.7375433509595
OZG24431.1	53.5305621780158
OZG24432.1	49.1775082305104
OZG24433.1	58.0671993074806
OZG24424.1	52.7518991064718
OZG24425.1	53.590642833507
OZG25006.1	49.7838010318884
OZG25005.1	57.7845234421119
OZG25008.1	50.7193879380432
OZG25007.1	53.5847245019092
OZG25002.1	54.8005513750408
OZG24576.1	52.0133323013411
OZG25004.1	45.2776859492145
OZG25003.1	44.8500566233195
OZG25009.1	48.612062925074
OZG24577.1	58.4474040578945
OZG25584.1	54.6584488677753
OZG25585.1	49.6735106198403
OZG25582.1	49.0550941813048
OZG25583.1	52.4444381088821
OZG25580.1	51.2535639651812
OZG25581.1	47.7994221103148
OZG25578.1	46.2363546216079
OZG25579.1	51.1633233152064
OZG25586.1	50.9888254783722
OZG25587.1	53.0104849528876
OZG24682.1	45.3896797294768
OZG24681.1	49.3212109540885
OZG24680.1	52.860557311187
OZG24679.1	43.4557722171118
OZG24686.1	50.8196074590034
OZG24685.1	49.6336348690217
OZG24684.1	56.2455402511758
OZG24683.1	53.4878892147923
OZG24678.1	51.3574176853373
OZG24677.1	42.3664650545913
OZG25217.1	53.4291298656731
OZG25218.1	53.3212249368995
OZG25219.1	42.4990837253657
OZG25220.1	53.5009170468589
OZG25213.1	44.6458938515251
OZG25214.1	43.7959652888784
OZG25215.1	36.3856116204176
OZG25216.1	52.7174384341495
OZG25222.1	51.0217163146604
OZG25223.1	54.3260256004876
OZG25074.1	60.5183038718595
OZG25075.1	54.645545083642
OZG25077.1	38.5009677144139
OZG25078.1	45.5711444934786
OZG25079.1	55.9221220093556
OZG25080.1	50.1478073734081
OZG25081.1	52.9744744744745
OZG25082.1	56.7612787354285
OZG25072.1	50.4051805669208
OZG25073.1	54.6446155472697
OZG24491.1	50.3146339533532
OZG24490.1	53.5189849968022
OZG24489.1	53.4358754352914
OZG24487.1	47.5852130088012
OZG24486.1	50.1069521258209
OZG24485.1	29.8872174773438
OZG24484.1	46.5732013976285
OZG24483.1	52.6190530130658
OZG24482.1	54.0471262300002
OZG24481.1	46.9543446359889
OZG24703.1	50.6410516834901
OZG24704.1	59.7584823571202
OZG24701.1	56.0707884924954
OZG24702.1	50.1365957961398
OZG24699.1	52.5800033086191
OZG24700.1	50.9376606072142
OZG24697.1	51.3649326665584
OZG24698.1	48.4636316312527
OZG24705.1	43.6385809312639
OZG24706.1	54.4966814871483
OZG25658.1	51.4623380448565
OZG25657.1	45.755417063806
OZG25660.1	41.7908568420179
OZG25659.1	49.2993108760624
OZG25654.1	51.6213948409217
OZG25354.1	50.9424905643112
OZG25656.1	52.978637078814
OZG25655.1	52.4837668571095
OZG25356.1	47.0607051483114
OZG25355.1	51.6900315338599
OZG24257.1	51.4267666856967
OZG24258.1	55.1760590712459
OZG24259.1	50.4780706191362
OZG24260.1	59.5352388596412
OZG24253.1	50.1584721981177
OZG24254.1	50.2418167483709
OZG24255.1	37.2004965841853
OZG24256.1	56.2022139959163
OZG24251.1	46.5107776199938
OZG24252.1	53.8243138502141
OZG25248.1	49.0976156228932
OZG25247.1	52.9407265567523
OZG25246.1	48.3220579168559
OZG25245.1	51.6922207908333
OZG25252.1	45.2285714285714
OZG25251.1	55.0361333569787
OZG25250.1	52.6425885120367
OZG25249.1	47.5232674975189
OZG25254.1	50.16016037572
OZG25253.1	54.9531459160527
OZG25418.1	61
OZG25416.1	48.9803432594983
OZG25417.1	55.7186191178686
