"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00004045",7.05177915546348,3.83899546878371,1.19416478134858,3.214795419145,0.00130537518418305,0.00400947206586677,1
"remanei_genome_00004105",15.3715010570556,0.774317360484258,0.736411484410689,1.05147377095009,0.293041049754108,0.386538087041822,0
"remanei_genome_00004129",2.82674994867863,1.87262300878039,1.27818559511993,1.46506345864795,0.142903605092376,0.212117158402177,0
"remanei_genome_00004142",17.5676857218563,1.83650579559642,0.570755385352358,3.21767580775895,0.00129233798670104,0.00400040301410974,1
"remanei_genome_00004154",43.359120218257,0.709956994539898,0.55787162603784,1.27261714237415,0.203153932574046,0.287738850796755,0
"remanei_genome_00004160",7.16682898024437,0.900322790146876,0.707517628657638,1.27250933924437,0.203192207949007,0.287738850796755,0
"remanei_genome_00004161",15.4198272806434,0.871851494740899,0.527267895654644,1.6535266074913,0.0982237355701688,0.156750831894363,0
"remanei_genome_00004170",7.0267683858017,-0.201204385687247,1.11492235729012,-0.180464930469495,0.856787583790397,0.882577176613519,0
"remanei_genome_00004192",19.5071534442144,1.98284055927707,0.530124441736471,3.74033038880851,0.000183778526178029,0.000694524982366048,1
"remanei_genome_00004196",2.7959779743003,3.83426015058207,1.33775305879384,2.86619426909713,0.00415439219384511,0.0104028682577585,1
"remanei_genome_00004202",38.2821308640385,1.00980320517335,0.370026902861133,2.72899942508321,0.00635268146800443,0.0149635547611009,1
"remanei_genome_00004224",4.07240752220737,0.374816031095112,1.24842428861239,0.300231287162568,0.764000741532734,0.807246066525152,0
"remanei_genome_00004218",66.6770687969934,-0.0539637674014296,0.307890641309829,-0.17526926824361,0.86086805835198,0.884297399427285,0
"remanei_genome_00004256",15.2264363800688,-1.11007663733172,0.458105093808189,-2.42319208481998,0.0153847894616474,0.0331364696097021,-1
"remanei_genome_00004284",3.71673242235881,0.608686148786447,0.77991661910791,0.780450286445593,0.435125878588083,0.536075082420518,0
"remanei_genome_00004278",0.89146125370924,-0.564432936139456,2.18063109462389,-0.258839258749911,0.795759265707302,0.830384532669125,0
"remanei_genome_00004275",8.63331010628209,2.63117269179534,0.804420256922696,3.27089312974399,0.00107208416375477,0.00335339093791678,1
"remanei_genome_00004264",2.71689740015855,1.42441031357816,1.24367654049209,1.14532216955267,0.252075725685741,0.341947328132585,0
"remanei_genome_00004311",21.5108702749018,0.690348784208712,0.568701452403675,1.21390367703631,0.224784508630072,0.313274337819286,0
"remanei_genome_00004324",52.1071898852601,2.47501703461203,0.469976511932663,5.26625686980426,1.39233432739393e-07,8.84204067705835e-07,1
"remanei_genome_00004342",20.0538547329747,1.15508732759826,0.609963726741477,1.89369839050745,0.0582650550922833,0.100818185215861,0
"remanei_genome_00004374",40.7526795464963,-0.355478444924266,0.463760200940787,-0.766513478739961,0.443370834934351,0.544056642070838,0
"remanei_genome_00004388",2.43018570377888,2.12709902343841,1.80856055044874,1.17612817713548,0.239543659726368,0.330849538994267,0
"remanei_genome_00004383",35.8127026933366,-0.526257891283932,0.436587387813198,-1.20538958745437,0.228052939286581,0.317111987811589,0
"remanei_genome_00004402",1.65940931726403,1.5001934568867,1.29946323779956,1.15447164125015,0.248306858539757,0.33840049747896,0
"remanei_genome_00004405",5.63515898045953,-1.23253050093961,0.679505376870608,-1.81386423550598,0.0696986300784957,0.116987346398783,0
"remanei_genome_00004410",1.97368677047903,-1.29952596812209,1.67221978366676,-0.777126296922859,0.437084260524314,0.537412982999955,0
"remanei_genome_00004498",33.8080197174606,0.749627711069465,0.561495805694613,1.33505487212343,0.181858387924843,0.262353084219446,0
"remanei_genome_00004488",1.01861423803757,-0.336147311727276,2.27153803636617,-0.147982250944395,0.882356775705387,0.902396021789363,0
"remanei_genome_00004513",21.4921215647854,1.2118768244795,0.519012320801165,2.33496735223706,0.0195451263264104,0.0410914601265146,1
"remanei_genome_00004512",20.9851793854044,1.21060265905499,0.526597147858021,2.29891609549961,0.0215097042463132,0.0435854533412136,1
"remanei_genome_00004541",6.20767380037716,3.23928501906665,1.2548116457276,2.58149103899045,0.00983745452758747,0.0218767941840934,1
"remanei_genome_00004552",15.3329020938009,2.33478529521291,0.590923075817035,3.95108160564678,7.77987884899709e-05,0.000317377839137895,1
"remanei_genome_00004555",1.19351126705094,2.83031617761907,1.60547332008325,1.76291698044058,0.0779144926919554,0.127647147601714,0
"remanei_genome_00004553",7.81123828059901,1.14125878520749,0.546010911775444,2.09017578329434,0.0366020120703738,0.068190700925898,0
"remanei_genome_00004579",28.7547162802628,1.77014365194207,0.602547082689923,2.93776818906781,0.00330584105487616,0.00866552378639879,1
"remanei_genome_00004584",10.5608680914848,-0.217650902173784,0.59281241332721,-0.367149704157171,0.713507353627808,0.767051535488185,0
"remanei_genome_00004576",6.23067297236751,1.26346754468345,0.953956600548889,1.32444971181758,0.185353733935614,0.266148951292164,0
"remanei_genome_00004577",8.68727472342549,4.06142045063887,0.943038261222431,4.30673984041133,1.65678275047173e-05,8.03604861646133e-05,1
"remanei_genome_00004592",3.12510296965202,3.1853115259105,1.03501389982072,3.07755434633509,0.00208706778350331,0.00589740254421119,1
"remanei_genome_00004621",20.9568094532202,1.72154409478636,0.505279474464732,3.40711266098842,0.000656540212698242,0.00218610146498442,1
"remanei_genome_00004622",2.40675434090478,3.10424329735143,1.37174872831982,2.26298244952896,0.0236367711936377,0.0472735423872754,1
"remanei_genome_00004628",636.15991655198,0.781829283302776,0.247443477068959,3.15962777666955,0.00157970814583952,0.00462069181293549,1
"remanei_genome_00004633",15.7257151579532,2.20168908434227,0.682417776732718,3.2263067572529,0.0012539887872199,0.00390129844912857,1
"remanei_genome_00004634",26.4670951265171,1.5818389924597,0.606385609562459,2.60863544173004,0.00909040295977685,0.0203625026299002,1
"remanei_genome_00004644",1459.18712281606,0.421927405087752,0.344198020667372,1.22582751716488,0.220263589731219,0.307669776132496,0
"remanei_genome_00004679",1.17118854854051,-2.34277990406576,2.47069130113385,-0.948228499040172,0.343013141722923,0.440200198544418,0
"remanei_genome_00004704",109.815806992388,1.21957078488053,0.356612123998138,3.41988032040914,0.000626486912006155,0.00210883026117919,1
"remanei_genome_00004690",8.43483295224845,2.55904717011198,1.05099948407064,2.43487005359936,0.0148971385235664,0.0321987274754979,1
"remanei_genome_00004768",83.6979197337913,0.66959023953393,0.307705191798136,2.17607715885795,0.029549491533238,0.0568827712014831,0
"remanei_genome_00004778",23.3784818216327,-1.96980453873428,0.453350538789391,-4.34499216432909,1.39280634746296e-05,6.80927547648558e-05,-1
"remanei_genome_00004839",10.4633503293527,1.13217091857805,0.825215910257248,1.37196932888159,0.170072986074962,0.2485427948294,0
"remanei_genome_00004848",8.02707005448494,1.59498979069357,0.6738166249498,2.36709771120949,0.0179281988389962,0.038213738701805,1
"remanei_genome_00004811",1.90031473233055,2.46311388817872,1.31514618650988,1.87288220385241,0.061084653155805,0.105106554033452,0
"remanei_genome_00004817",2.00131224379837,1.15799345651746,1.57157127605599,0.736838013114851,0.461220863419124,0.559065121189759,0
"remanei_genome_00004919",38.3759807437401,3.19394479229631,0.541306198819863,5.900440082267,3.62533261851817e-09,2.90026609481454e-08,1
