"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"remanei_genome_00004579",28.7547162802628,-0.342922320591197,0.602546995125098,-0.569121285751332,0.569273834028089,0.666604946804263,0
"remanei_genome_00004584",10.5608680914848,0.760627794232337,0.592812408682923,1.28308345623577,0.199462839136987,0.305152239614767,0
"remanei_genome_00004576",6.23067297236751,0.560460773573018,0.953956341415285,0.58751197433367,0.556859910757276,0.655980974872071,0
"remanei_genome_00004577",8.68727472342549,-1.63752732982721,0.943036836575953,-1.73644047222255,0.0824859813089862,0.145461805362254,0
"remanei_genome_00004592",3.12510296965202,1.67647429799382,1.03501204091331,1.61976308653807,0.105283178565601,0.181321029751868,0
"remanei_genome_00004621",20.9568094532202,2.75817321972206,0.505279469972954,5.45870826667407,4.79611053577838e-08,2.27815250449473e-07,1
"remanei_genome_00004622",2.40675434090478,1.33861068545846,1.37174617642036,0.975844298652708,0.329141628590764,0.440433551961295,0
"remanei_genome_00004628",636.15991655198,0.506962196210034,0.247443476801472,2.04880000379553,0.0404816754087674,0.0781760879205378,0
"remanei_genome_00004633",15.7257151579532,3.63119202903744,0.682417852670373,5.32106833786397,1.03159639196061e-07,4.74695527238123e-07,1
"remanei_genome_00004634",26.4670951265171,2.02482679281525,0.606385583757018,3.33917369913367,0.000840280044359209,0.00234561585842452,1
"remanei_genome_00004644",1459.18712281606,-1.19540123577568,0.344198020156139,-3.47300439216183,0.000514666932727643,0.00150068724443852,-1
"remanei_genome_00004704",109.815806992388,1.50656931268628,0.356612121297574,4.22467219343094,2.39288830329566e-05,8.290654180242e-05,1
"remanei_genome_00004690",8.43483295224845,0.48948823599922,1.05099883520242,0.465736230720889,0.641404315397937,0.723730156646331,0
"remanei_genome_00004768",83.6979197337913,2.33480494401897,0.307705195509403,7.58779825005463,3.25387016022603e-14,2.42598673971282e-13,1
"remanei_genome_00004778",23.3784818216327,-0.988339995729804,0.453350537863216,-2.18007901873936,0.0292516047275599,0.0592068563042364,0
"remanei_genome_00004839",10.4633503293527,4.08913457303069,0.825216717565547,4.95522507723056,7.22466085829076e-07,2.98715434884307e-06,1
"remanei_genome_00004848",8.02707005448494,-0.210653142338635,0.673816368877867,-0.312626929336021,0.7545641162936,0.823033823142464,0
"remanei_genome_00004811",1.90031473233055,1.66271857338987,1.31514430484912,1.26428603101515,0.206127381573417,0.314531159965654,0
"remanei_genome_00004817",2.00131224379837,-1.3452986471949,1.57156968268403,-0.856022269974891,0.391985461336211,0.5019118189718,0
"remanei_genome_00004919",38.3759807437401,-1.36497270490196,0.541306018981596,-2.5216285373475,0.011681298951313,0.0256727055310573,-1
"remanei_genome_00005084",2180.0756715989,0.196073339329116,0.299438113397593,0.654804216819156,0.512593815332852,0.611833771983338,0
"remanei_genome_00005154",4.536343400225,0.952602028136874,0.694423008994637,1.37178926360176,0.170129050512394,0.270097064021025,0
"remanei_genome_00005271",8.43772229341399,-0.380628214065097,0.776651281095589,-0.490088954116139,0.624070954073284,0.710982189456797,0
"remanei_genome_00005296",1.88306532488925,-0.836866849795933,1.61721703326036,-0.517473432807458,0.604825710025067,0.697147442670772,0
"remanei_genome_00005313",1351.80440133364,0.473861766475836,0.31340108338916,1.51199785703174,0.130534407704201,0.218422631073222,0
